"Model","RMSE","MAE","R_squared"
"Linear Regression",0.235821339484344,0.176139839658743,0.671512846914312
"Random Forest",0.241601565753037,0.187437779803174,0.681518984713864
"SVM",5.86057672733926,5.8194810319101,0.483089837336396
"XGBoost",0.270163545554003,0.211528714377505,0.545244554578845
